term_str,n,p,i,n_chars,max_pos_group,max_pos,stop,porter_stem,df,idf,dfidf
oh,516,0.005521669341894,7.500679788096629,2,UH,UH,0,oh,7.0,0.6520766965796931,4.564536876057852
when,495,0.0052969502407704,7.560622328552911,4,WR,WRB,1,when,9.0,0.289506617194985,2.605559554754865
just,483,0.0051685393258426,7.59602766468411,4,RB,RB,1,just,8.0,0.45943161863729726,3.675452949098378
what,472,0.0050508293204922,7.629263994158041,4,WP,WP,1,what,7.0,0.6520766965796931,4.564536876057852
na,408,0.0043659711075441,7.8394817015483875,2,TO,TO,0,na,7.0,0.6520766965796931,4.564536876057852
up,390,0.0041733547351524,7.904576729770272,2,RP,RP,1,up,7.0,0.6520766965796931,4.564536876057852
if,383,0.0040984483681112,7.930706461594926,2,IN,IN,1,if,7.0,0.6520766965796931,4.564536876057852
re,383,0.0040984483681112,7.930706461594926,2,VB,VBP,1,re,6.0,0.874469117916141,5.246814707496846
was,371,0.0039700374531835,7.976631666899079,3,VB,VBD,1,wa,6.0,0.874469117916141,5.246814707496846
baby,368,0.0039379347244515,7.98834508746287,4,NN,NN,0,babi,5.0,1.1375035237499351,5.687517618749675
ve,367,0.0039272338148742,7.99227079067667,2,VB,VBP,1,ve,6.0,0.874469117916141,5.246814707496846
with,366,0.0039165329052969,7.99620720523584,4,IN,IN,1,with,7.0,0.6520766965796931,4.564536876057852
got,358,0.0038309256286784,8.028091266255627,3,VB,VBD,0,got,8.0,0.45943161863729726,3.675452949098378
ll,349,0.0037346174424826,8.06482381731023,2,MD,MD,1,ll,6.0,0.874469117916141,5.246814707496846
say,343,0.0036704119850187,8.08984227734707,3,VB,VB,0,say,7.0,0.6520766965796931,4.564536876057852
there,341,0.003649010165864,8.09827911449571,5,EX,EX,1,there,6.0,0.874469117916141,5.246814707496846
no,339,0.0036276083467094,8.10676558038354,2,DT,DT,1,no,9.0,0.289506617194985,2.605559554754865
go,325,0.003477795612627,8.167611135604066,2,VB,VB,0,go,6.0,0.874469117916141,5.246814707496846
this,324,0.0034670947030497,8.172057040635258,4,DT,DT,1,thi,6.0,0.874469117916141,5.246814707496846
can,316,0.0033814874264312,8.20812629534278,3,MD,MD,1,can,8.0,0.45943161863729726,3.675452949098378
time,301,0.0032209737827715,8.27828736676018,4,NN,NN,0,time,8.0,0.45943161863729726,3.675452949098378
never,301,0.0032209737827715,8.27828736676018,5,RB,RB,0,never,7.0,0.6520766965796931,4.564536876057852
cause,300,0.0032102728731942,8.283088353024002,5,IN,IN,0,caus,6.0,0.874469117916141,5.246814707496846
will,298,0.0031888710540395,8.292738523057722,4,MD,MD,1,will,8.0,0.45943161863729726,3.675452949098378
now,290,0.003103263777421,8.331997953504949,3,RB,RB,1,now,7.0,0.6520766965796931,4.564536876057852
get,276,0.0029534510433386,8.403382586741714,3,VB,VB,0,get,7.0,0.6520766965796931,4.564536876057852
down,273,0.0029213483146067,8.419149902600031,4,RP,RP,1,down,8.0,0.45943161863729726,3.675452949098378
he,264,0.0028250401284109,8.46751292416143,2,PR,PRP,1,he,6.0,0.874469117916141,5.246814707496846
let,261,0.0027929373996789,8.484001046949999,3,VB,VB,0,let,6.0,0.874469117916141,5.246814707496846
want,245,0.0026217228464419,8.575269104517313,4,VB,VBP,0,want,9.0,0.289506617194985,2.605559554754865
are,233,0.0024933119315141,8.647720898865602,3,VB,VBP,1,are,6.0,0.874469117916141,5.246814707496846
ca,227,0.0024291064740502,8.685358556228968,2,MD,MD,0,ca,6.0,0.874469117916141,5.246814707496846
one,220,0.002354200107009,8.730547329995224,3,CD,CD,0,one,7.0,0.6520766965796931,4.564536876057852
wan,212,0.0022685928303905,8.783986588956683,3,VB,VBP,0,wan,5.0,1.1375035237499351,5.687517618749675
way,212,0.0022685928303905,8.783986588956683,3,NN,NN,0,way,6.0,0.874469117916141,5.246814707496846
at,212,0.0022685928303905,8.783986588956683,2,IN,IN,1,at,7.0,0.6520766965796931,4.564536876057852
have,207,0.002215088282504,8.818420086020557,4,VB,VBP,1,have,7.0,0.6520766965796931,4.564536876057852
make,204,0.002182985553772,8.839481701548387,4,VB,VB,0,make,5.0,1.1375035237499351,5.687517618749675
not,204,0.002182985553772,8.839481701548387,3,RB,RB,1,not,6.0,0.874469117916141,5.246814707496846
feel,202,0.0021615837346174,8.853695560768088,4,VB,VB,0,feel,5.0,1.1375035237499351,5.687517618749675
back,198,0.0021187800963081,8.882550423440273,4,RB,RB,0,back,6.0,0.874469117916141,5.246814707496846
out,196,0.0020973782771535,8.897197199404674,3,RP,RP,1,out,7.0,0.6520766965796931,4.564536876057852
come,194,0.0020759764579989,8.911994201332755,4,VB,VB,0,come,7.0,0.6520766965796931,4.564536876057852
ooh,194,0.0020759764579989,8.911994201332755,3,NN,NNP,0,ooh,5.0,1.1375035237499351,5.687517618749675
gon,193,0.0020652755484216,8.919450006251802,3,VB,VBG,0,gon,7.0,0.6520766965796931,4.564536876057852
were,188,0.002011771000535,8.957318191842246,4,VB,VBD,1,were,8.0,0.45943161863729726,3.675452949098378
how,184,0.0019689673622257,8.98834508746287,3,WR,WRB,1,how,6.0,0.874469117916141,5.246814707496846
from,181,0.0019368646334938,9.012061156436678,4,IN,IN,1,from,7.0,0.6520766965796931,4.564536876057852
look,178,0.0019047619047619,9.036173612553483,4,VB,VB,0,look,5.0,1.1375035237499351,5.687517618749675
ai,176,0.0018833600856072,9.052475424882584,2,VB,VBP,0,ai,5.0,1.1375035237499351,5.687517618749675
heart,175,0.0018726591760299,9.060695931687556,5,NN,NN,0,heart,7.0,0.6520766965796931,4.564536876057852
keep,174,0.0018619582664526,9.068963547671157,4,VB,VB,0,keep,6.0,0.874469117916141,5.246814707496846
d,172,0.001840556447298,9.085642288817784,1,MD,MD,1,d,6.0,0.874469117916141,5.246814707496846
see,169,0.001808453718566,9.111027607237698,3,VB,VB,0,see,5.0,1.1375035237499351,5.687517618749675
could,168,0.0017977528089887,9.119589620741122,5,MD,MD,0,could,6.0,0.874469117916141,5.246814707496846
been,167,0.0017870518994114,9.12820275104583,4,VB,VBN,1,been,7.0,0.6520766965796931,4.564536876057852
too,163,0.0017442482611021,9.163178889288805,3,RB,RB,1,too,6.0,0.874469117916141,5.246814707496846
would,162,0.0017335473515248,9.172057040635258,5,MD,MD,0,would,6.0,0.874469117916141,5.246814707496846
right,160,0.0017121455323702,9.18997894863252,5,JJ,JJ,0,right,5.0,1.1375035237499351,5.687517618749675
need,156,0.0016693418940609,9.226504824657637,4,VB,VBP,0,need,5.0,1.1375035237499351,5.687517618749675
take,155,0.0016586409844836,9.235782638245643,4,VB,VB,0,take,5.0,1.1375035237499351,5.687517618749675
they,151,0.0016158373461744,9.273502304194803,4,PR,PRP,1,they,7.0,0.6520766965796931,4.564536876057852
did,148,0.0015837346174424,9.302453677890933,3,VB,VBD,1,did,6.0,0.874469117916141,5.246814707496846
wo,145,0.0015516318887105,9.331997953504947,2,MD,MD,0,wo,6.0,0.874469117916141,5.246814707496846
why,144,0.0015409309791332,9.34198204207757,3,WR,WRB,1,whi,6.0,0.874469117916141,5.246814707496846
tell,140,0.0014981273408239,9.382624026574916,4,VB,VB,0,tell,6.0,0.874469117916141,5.246814707496846
about,136,0.0014553237025147,9.424444202269544,5,IN,IN,1,about,7.0,0.6520766965796931,4.564536876057852
night,135,0.0014446227929373,9.435091446469052,5,NN,NN,0,night,9.0,0.289506617194985,2.605559554754865
every,135,0.0014446227929373,9.435091446469052,5,DT,DT,0,everi,7.0,0.6520766965796931,4.564536876057852
as,134,0.00143392188336,9.44581785306211,2,IN,IN,1,as,7.0,0.6520766965796931,4.564536876057852
said,131,0.0014018191546281,9.478484041982432,4,VB,VBD,0,said,6.0,0.874469117916141,5.246814707496846
think,130,0.0013911182450508,9.489539230491427,5,VB,VBP,0,think,5.0,1.1375035237499351,5.687517618749675
day,129,0.0013804173354735,9.500679788096628,3,NN,NN,0,day,5.0,1.1375035237499351,5.687517618749675
outro,129,0.0013804173354735,9.500679788096628,5,NN,NNP,0,outro,6.0,0.874469117916141,5.246814707496846
give,129,0.0013804173354735,9.500679788096628,4,VB,VB,0,give,5.0,1.1375035237499351,5.687517618749675
by,128,0.0013697164258962,9.511907043519884,2,IN,IN,1,by,7.0,0.6520766965796931,4.564536876057852
again,127,0.0013590155163188,9.523222356747716,5,RB,RB,1,again,8.0,0.45943161863729726,3.675452949098378
more,125,0.0013376136971642,9.546122758857797,4,JJ,JJR,1,more,6.0,0.874469117916141,5.246814707496846
then,122,0.0013055109684323,9.581169705956995,4,RB,RB,1,then,6.0,0.874469117916141,5.246814707496846
boy,121,0.001294810058855,9.593043806245287,3,NN,NN,0,boy,8.0,0.45943161863729726,3.675452949098378
us,121,0.001294810058855,9.593043806245287,2,PR,PRP,0,us,8.0,0.45943161863729726,3.675452949098378
had,121,0.001294810058855,9.593043806245287,3,VB,VBD,1,had,7.0,0.6520766965796931,4.564536876057852
life,119,0.0012734082397003,9.61708928021194,4,NN,NN,0,life,7.0,0.6520766965796931,4.564536876057852
who,119,0.0012734082397003,9.61708928021194,3,WP,WP,1,who,7.0,0.6520766965796931,4.564536876057852
she,118,0.001262707330123,9.62926399415804,3,PR,PRP,1,she,8.0,0.45943161863729726,3.675452949098378
always,117,0.0012520064205457,9.64154232393648,6,RB,RB,0,alway,7.0,0.6520766965796931,4.564536876057852
here,114,0.0012199036918138,9.67901702935514,4,RB,RB,1,here,7.0,0.6520766965796931,4.564536876057852
own,113,0.0012092027822364,9.691728081104696,3,JJ,JJ,1,own,6.0,0.874469117916141,5.246814707496846
good,111,0.0011878009630818,9.717491177169777,4,JJ,JJ,0,good,9.0,0.289506617194985,2.605559554754865
through,111,0.0011878009630818,9.717491177169777,7,IN,IN,1,through,6.0,0.874469117916141,5.246814707496846
should,108,0.0011556982343499,9.757019541356414,6,MD,MD,1,should,5.0,1.1375035237499351,5.687517618749675
call,107,0.0011449973247726,9.770440057118735,4,VB,VB,0,call,6.0,0.874469117916141,5.246814707496846
ever,103,0.0011021936864633,9.825406516336663,4,RB,RB,0,ever,7.0,0.6520766965796931,4.564536876057852
well,103,0.0011021936864633,9.825406516336663,4,RB,RB,0,well,6.0,0.874469117916141,5.246814707496846
or,103,0.0011021936864633,9.825406516336663,2,CC,CC,1,or,5.0,1.1375035237499351,5.687517618749675
still,102,0.001091492776886,9.839481701548388,5,RB,RB,0,still,6.0,0.874469117916141,5.246814707496846
hold,98,0.0010486891385767,9.897197199404674,4,VB,VB,0,hold,6.0,0.874469117916141,5.246814707496846
mind,98,0.0010486891385767,9.897197199404674,4,NN,NN,0,mind,9.0,0.289506617194985,2.605559554754865
away,97,0.0010379882289994,9.911994201332757,4,RB,RB,0,away,5.0,1.1375035237499351,5.687517618749675
man,97,0.0010379882289994,9.911994201332757,3,NN,NN,0,man,5.0,1.1375035237499351,5.687517618749675
only,97,0.0010379882289994,9.911994201332757,4,RB,RB,1,onli,5.0,1.1375035237499351,5.687517618749675
things,95,0.0010165864098448,9.942051435188937,6,NN,NNS,0,thing,7.0,0.6520766965796931,4.564536876057852
home,92,0.0009844836811128,9.98834508746287,4,NN,NN,0,home,7.0,0.6520766965796931,4.564536876057852
her,92,0.0009844836811128,9.98834508746287,3,PR,PRP$,1,her,6.0,0.874469117916141,5.246814707496846
where,91,0.0009737827715355,10.004112403321187,5,WR,WRB,1,where,6.0,0.874469117916141,5.246814707496846
remember,89,0.0009523809523809,10.036173612553483,8,VB,VBP,0,rememb,7.0,0.6520766965796931,4.564536876057852
everything,87,0.0009309791332263,10.068963547671157,10,NN,NN,0,everyth,7.0,0.6520766965796931,4.564536876057852
than,87,0.0009309791332263,10.068963547671157,4,IN,IN,1,than,6.0,0.874469117916141,5.246814707496846
over,86,0.000920278223649,10.085642288817784,4,IN,IN,1,over,6.0,0.874469117916141,5.246814707496846
made,85,0.0009095773140716,10.10251610738218,4,VB,VBD,0,made,6.0,0.874469117916141,5.246814707496846
nothing,83,0.000888175494917,10.136867612172958,7,NN,NN,0,noth,6.0,0.874469117916141,5.246814707496846
much,82,0.0008774745853397,10.1543550389018,4,JJ,JJ,0,much,7.0,0.6520766965796931,4.564536876057852
world,82,0.0008774745853397,10.1543550389018,5,NN,NN,0,world,8.0,0.45943161863729726,3.675452949098378
ayy,82,0.0008774745853397,10.1543550389018,3,NN,NN,0,ayi,2.0,2.4594316186372973,4.918863237274595
leave,81,0.0008667736757624,10.172057040635258,5,VB,VB,0,leav,6.0,0.874469117916141,5.246814707496846
off,81,0.0008667736757624,10.172057040635258,3,RP,RP,1,off,5.0,1.1375035237499351,5.687517618749675
thing,80,0.0008560727661851,10.18997894863252,5,NN,NN,0,thing,9.0,0.289506617194985,2.605559554754865
find,80,0.0008560727661851,10.18997894863252,4,VB,VB,0,find,7.0,0.6520766965796931,4.564536876057852
better,80,0.0008560727661851,10.18997894863252,6,JJ,JJR,0,better,6.0,0.874469117916141,5.246814707496846
myself,79,0.0008453718566078,10.20812629534278,6,PR,PRP,1,myself,7.0,0.6520766965796931,4.564536876057852
alone,78,0.0008346709470304,10.226504824657637,5,RB,RB,0,alon,6.0,0.874469117916141,5.246814707496846
next,78,0.0008346709470304,10.226504824657637,4,JJ,JJ,0,next,5.0,1.1375035237499351,5.687517618749675
into,76,0.0008132691278758,10.263979530076297,4,IN,IN,1,into,7.0,0.6520766965796931,4.564536876057852
head,76,0.0008132691278758,10.263979530076297,4,NN,NN,0,head,5.0,1.1375035237499351,5.687517618749675
shake,76,0.0008132691278758,10.263979530076297,5,VB,VB,0,shake,2.0,2.4594316186372973,4.918863237274595
stop,75,0.0008025682182985,10.283088353024002,4,VB,VB,0,stop,5.0,1.1375035237499351,5.687517618749675
tonight,74,0.0007918673087212,10.302453677890933,7,NN,NN,0,tonight,4.0,1.4594316186372973,5.837726474549189
our,73,0.0007811663991439,10.322082484639866,3,PR,PRP$,1,our,5.0,1.1375035237499351,5.687517618749675
face,72,0.0007704654895666,10.34198204207757,4,NN,NN,0,face,5.0,1.1375035237499351,5.687517618749675
mine,72,0.0007704654895666,10.34198204207757,4,NN,NN,0,mine,6.0,0.874469117916141,5.246814707496846
bring,71,0.0007597645799892,10.3621599240152,5,VB,VB,0,bring,5.0,1.1375035237499351,5.687517618749675
really,71,0.0007597645799892,10.3621599240152,6,RB,RB,0,realli,5.0,1.1375035237499351,5.687517618749675
has,70,0.0007490636704119,10.382624026574916,3,VB,VBZ,1,ha,5.0,1.1375035237499351,5.687517618749675
break,70,0.0007490636704119,10.382624026574916,5,VB,VB,0,break,8.0,0.45943161863729726,3.675452949098378
him,70,0.0007490636704119,10.382624026574916,3,PR,PRP,1,him,6.0,0.874469117916141,5.246814707496846
stay,69,0.0007383627608346,10.403382586741714,4,VB,VB,0,stay,6.0,0.874469117916141,5.246814707496846
told,68,0.0007276618512573,10.424444202269544,4,VB,VBD,0,told,6.0,0.874469117916141,5.246814707496846
even,68,0.0007276618512573,10.424444202269544,4,RB,RB,0,even,6.0,0.874469117916141,5.246814707496846
some,68,0.0007276618512573,10.424444202269544,4,DT,DT,1,some,6.0,0.874469117916141,5.246814707496846
wish,67,0.00071696094168,10.44581785306211,4,VB,VBP,0,wish,5.0,1.1375035237499351,5.687517618749675
bad,66,0.0007062600321027,10.46751292416143,3,JJ,JJ,0,bad,7.0,0.6520766965796931,4.564536876057852
little,65,0.0006955591225254,10.489539230491427,6,JJ,JJ,0,littl,7.0,0.6520766965796931,4.564536876057852
someone,65,0.0006955591225254,10.489539230491427,7,NN,NN,0,someon,6.0,0.874469117916141,5.246814707496846
before,65,0.0006955591225254,10.489539230491427,6,IN,IN,1,befor,6.0,0.874469117916141,5.246814707496846
bout,65,0.0006955591225254,10.489539230491427,4,IN,IN,0,bout,5.0,1.1375035237499351,5.687517618749675
alright,64,0.0006848582129481,10.511907043519884,7,JJ,JJ,0,alright,4.0,1.4594316186372973,5.837726474549189
rumour,62,0.0006634563937934,10.557710733133009,6,NN,NN,0,rumour,1.0,3.4594316186372973,3.4594316186372973
friends,62,0.0006634563937934,10.557710733133009,7,NN,NNS,0,friend,5.0,1.1375035237499351,5.687517618749675
hands,60,0.0006420545746388,10.605016447911364,5,NN,NNS,0,hand,4.0,1.4594316186372973,5.837726474549189
ready,60,0.0006420545746388,10.605016447911364,5,JJ,JJ,0,readi,4.0,1.4594316186372973,5.837726474549189
tears,60,0.0006420545746388,10.605016447911364,5,NN,NNS,0,tear,5.0,1.1375035237499351,5.687517618749675
somebody,59,0.0006313536650615,10.62926399415804,8,NN,NN,0,somebodi,5.0,1.1375035237499351,5.687517618749675
ah,59,0.0006313536650615,10.62926399415804,2,NN,NN,0,ah,4.0,1.4594316186372973,5.837726474549189
light,59,0.0006313536650615,10.62926399415804,5,NN,NN,0,light,7.0,0.6520766965796931,4.564536876057852
shit,58,0.0006206527554842,10.65392604839231,4,NN,NN,0,shit,4.0,1.4594316186372973,5.837726474549189
fall,58,0.0006206527554842,10.65392604839231,4,NN,NN,0,fall,5.0,1.1375035237499351,5.687517618749675
put,57,0.0006099518459069,10.67901702935514,3,VB,VB,0,put,6.0,0.874469117916141,5.246814707496846
hear,57,0.0006099518459069,10.67901702935514,4,VB,VB,0,hear,6.0,0.874469117916141,5.246814707496846
ta,57,0.0006099518459069,10.67901702935514,2,JJ,JJ,0,ta,5.0,1.1375035237499351,5.687517618749675
knew,56,0.0005992509363295,10.704552121462278,4,VB,VBD,0,knew,6.0,0.874469117916141,5.246814707496846
believe,56,0.0005992509363295,10.704552121462278,7,VB,VB,0,believ,5.0,1.1375035237499351,5.687517618749675
woman,55,0.0005885500267522,10.730547329995224,5,NN,NN,0,woman,7.0,0.6520766965796931,4.564536876057852
mmm,55,0.0005885500267522,10.730547329995224,3,NN,NN,0,mmm,4.0,1.4594316186372973,5.837726474549189
eyes,55,0.0005885500267522,10.730547329995224,4,NN,NNS,0,eye,5.0,1.1375035237499351,5.687517618749675
might,54,0.0005778491171749,10.757019541356414,5,MD,MD,0,might,6.0,0.874469117916141,5.246814707496846
thought,54,0.0005778491171749,10.757019541356414,7,VB,VBD,0,thought,5.0,1.1375035237499351,5.687517618749675
run,53,0.0005671482075976,10.783986588956685,3,VB,VB,0,run,6.0,0.874469117916141,5.246814707496846
his,53,0.0005671482075976,10.783986588956685,3,PR,PRP$,1,hi,5.0,1.1375035237499351,5.687517618749675
must,53,0.0005671482075976,10.783986588956685,4,MD,MD,0,must,5.0,1.1375035237499351,5.687517618749675
hard,53,0.0005671482075976,10.783986588956685,4,JJ,JJ,0,hard,7.0,0.6520766965796931,4.564536876057852
lover,52,0.0005564472980203,10.811467325378793,5,NN,NN,0,lover,4.0,1.4594316186372973,5.837726474549189
hey,52,0.0005564472980203,10.811467325378793,3,NN,NN,0,hey,5.0,1.1375035237499351,5.687517618749675
save,52,0.0005564472980203,10.811467325378793,4,VB,VB,0,save,5.0,1.1375035237499351,5.687517618749675
try,52,0.0005564472980203,10.811467325378793,3,VB,VB,0,tri,6.0,0.874469117916141,5.246814707496846
forget,52,0.0005564472980203,10.811467325378793,6,VB,VB,0,forget,6.0,0.874469117916141,5.246814707496846
best,52,0.0005564472980203,10.811467325378793,4,JJ,JJS,0,best,6.0,0.874469117916141,5.246814707496846
am,51,0.000545746388443,10.839481701548388,2,VB,VBP,1,am,7.0,0.6520766965796931,4.564536876057852
talk,51,0.000545746388443,10.839481701548388,4,VB,NN,0,talk,5.0,1.1375035237499351,5.687517618749675
somethin,51,0.000545746388443,10.839481701548388,8,NN,NN,0,somethin,3.0,1.874469117916141,5.623407353748423
care,51,0.000545746388443,10.839481701548388,4,VB,VB,0,care,5.0,1.1375035237499351,5.687517618749675
hair,51,0.000545746388443,10.839481701548388,4,NN,NN,0,hair,4.0,1.4594316186372973,5.837726474549189
makes,50,0.0005350454788657,10.868050853745158,5,VB,VBZ,0,make,5.0,1.1375035237499351,5.687517618749675
young,50,0.0005350454788657,10.868050853745158,5,JJ,JJ,0,young,4.0,1.4594316186372973,5.837726474549189
yes,50,0.0005350454788657,10.868050853745158,3,UH,UH,0,ye,5.0,1.1375035237499351,5.687517618749675
ima,50,0.0005350454788657,10.868050853745158,3,NN,NNP,0,ima,2.0,2.4594316186372973,4.918863237274595
last,49,0.0005243445692883,10.897197199404674,4,JJ,JJ,0,last,8.0,0.45943161863729726,3.675452949098378
first,49,0.0005243445692883,10.897197199404674,5,JJ,JJ,0,first,7.0,0.6520766965796931,4.564536876057852
cry,49,0.0005243445692883,10.897197199404674,3,VB,VB,0,cri,5.0,1.1375035237499351,5.687517618749675
sometimes,48,0.000513643659711,10.926944542798728,9,RB,RB,0,sometim,5.0,1.1375035237499351,5.687517618749675
pain,47,0.0005029427501337,10.957318191842246,4,NN,NN,0,pain,4.0,1.4594316186372973,5.837726474549189
thinking,47,0.0005029427501337,10.957318191842246,8,VB,VBG,0,think,6.0,0.874469117916141,5.246814707496846
inside,47,0.0005029427501337,10.957318191842246,6,IN,IN,0,insid,5.0,1.1375035237499351,5.687517618749675
play,47,0.0005029427501337,10.957318191842246,4,VB,VB,0,play,5.0,1.1375035237499351,5.687517618749675
shoop,47,0.0005029427501337,10.957318191842246,5,NN,NNP,0,shoop,1.0,3.4594316186372973,3.4594316186372973
left,47,0.0005029427501337,10.957318191842246,4,VB,VBD,0,left,6.0,0.874469117916141,5.246814707496846
feeling,47,0.0005029427501337,10.957318191842246,7,VB,VBG,0,feel,6.0,0.874469117916141,5.246814707496846
god,46,0.0004922418405564,10.98834508746287,3,NN,NNP,0,god,4.0,1.4594316186372973,5.837726474549189
enough,46,0.0004922418405564,10.98834508746287,6,JJ,JJ,0,enough,6.0,0.874469117916141,5.246814707496846
new,46,0.0004922418405564,10.98834508746287,3,JJ,JJ,0,new,8.0,0.45943161863729726,3.675452949098378
once,45,0.0004815409309791,11.020053947190208,4,RB,RB,1,onc,5.0,1.1375035237499351,5.687517618749675
around,45,0.0004815409309791,11.020053947190208,6,IN,IN,0,around,6.0,0.874469117916141,5.246814707496846
long,45,0.0004815409309791,11.020053947190208,4,JJ,JJ,0,long,6.0,0.874469117916141,5.246814707496846
wait,45,0.0004815409309791,11.020053947190208,4,VB,VB,0,wait,5.0,1.1375035237499351,5.687517618749675
please,45,0.0004815409309791,11.020053947190208,6,VB,VB,0,pleas,6.0,0.874469117916141,5.246814707496846
them,45,0.0004815409309791,11.020053947190208,4,PR,PRP,1,them,6.0,0.874469117916141,5.246814707496846
wanted,45,0.0004815409309791,11.020053947190208,6,VB,VBD,0,want,5.0,1.1375035237499351,5.687517618749675
hurts,45,0.0004815409309791,11.020053947190208,5,VB,VBZ,0,hurt,7.0,0.6520766965796931,4.564536876057852
name,44,0.0004708400214018,11.052475424882584,4,NN,NN,0,name,6.0,0.874469117916141,5.246814707496846
dance,44,0.0004708400214018,11.052475424882584,5,NN,NN,0,danc,7.0,0.6520766965796931,4.564536876057852
wake,44,0.0004708400214018,11.052475424882584,4,VB,VB,0,wake,5.0,1.1375035237499351,5.687517618749675
after,43,0.0004601391118245,11.085642288817784,5,IN,IN,1,after,7.0,0.6520766965796931,4.564536876057852
wrong,43,0.0004601391118245,11.085642288817784,5,JJ,JJ,0,wrong,5.0,1.1375035237499351,5.687517618749675
walk,43,0.0004601391118245,11.085642288817784,4,VB,VB,0,walk,6.0,0.874469117916141,5.246814707496846
amy,43,0.0004601391118245,11.085642288817784,3,NN,NNP,0,ami,1.0,3.4594316186372973,3.4594316186372973
hope,42,0.0004494382022471,11.119589620741122,4,NN,VBP,0,hope,5.0,1.1375035237499351,5.687517618749675
hand,42,0.0004494382022471,11.119589620741122,4,NN,NN,0,hand,5.0,1.1375035237499351,5.687517618749675
turn,42,0.0004494382022471,11.119589620741122,4,VB,VB,0,turn,5.0,1.1375035237499351,5.687517618749675
something,42,0.0004494382022471,11.119589620741122,9,NN,NN,0,someth,5.0,1.1375035237499351,5.687517618749675
between,42,0.0004494382022471,11.119589620741122,7,IN,IN,1,between,5.0,1.1375035237499351,5.687517618749675
maybe,42,0.0004494382022471,11.119589620741122,5,RB,RB,0,mayb,6.0,0.874469117916141,5.246814707496846
kiss,41,0.0004387372926698,11.1543550389018,4,VB,VB,0,kiss,6.0,0.874469117916141,5.246814707496846
miss,41,0.0004387372926698,11.1543550389018,4,VB,VBP,0,miss,6.0,0.874469117916141,5.246814707496846
higher,41,0.0004387372926698,11.1543550389018,6,JJ,JJR,0,higher,2.0,2.4594316186372973,4.918863237274595
